network,station,name,lat,lon,alt,sensitivity,site,vs30
QH,A0050,A0050,36.78000,101.20000,0,70000000000.0,地表,784.25
QH,A0051,A0051,36.42000,101.61000,0,70000000000.0,地表,416.89
QH,A0052,A0052,36.83000,101.12000,0,70000000000.0,地表,598.85
QH,A0053,A0053,36.63000,101.12000,0,70000000000.0,地表,551.20
QH,A0054,A0054,36.73000,101.04000,0,70000000000.0,地表,449.76
QH,A0055,A0055,36.70000,101.12000,0,70000000000.0,地表,429.25
QH,A0056,A0056,36.38000,101.54000,0,70000000000.0,地表,650.17
QH,A0057,A0057,36.60000,101.24000,0,70000000000.0,地表,520.85
QH,A0058,A0058,36.55000,101.19000,0,70000000000.0,地表,387.90
QH,A0059,A0059,36.45000,101.16000,0,70000000000.0,地表,382.48
QH,AH001,AH001,36.39000,101.57000,0,70000000000.0,地表,595.24
QH,B0001,B0001,36.53000,101.97000,0,70000000000.0,地表,270.19
QH,B0002,B0002,36.47000,101.89000,0,70000000000.0,地表,526.31
QH,B0003,B0003,36.39000,101.86000,0,70000000000.0,地表,515.00
QH,B0004,B0004,36.45000,101.99000,0,70000000000.0,地表,379.87
QH,B0005,B0005,36.34000,101.91000,0,70000000000.0,地表,579.45
QH,B0006,B0006,36.31000,101.98000,0,70000000000.0,地表,723.31
QH,B0007,B0007,36.39000,102.04000,0,70000000000.0,地表,478.75
QH,B0010,B0010,36.50000,102.03000,0,70000000000.0,地表,644.82
QH,B0042,B0042,36.66000,101.89000,0,70000000000.0,地表,547.99
QH,B0043,B0043,36.79000,101.84000,0,70000000000.0,地表,581.31
QH,B0044,B0044,36.76000,101.97000,0,70000000000.0,地表,457.87
QH,B0045,B0045,36.88000,101.86000,0,70000000000.0,地表,545.12
QH,B0046,B0046,36.91000,101.93000,0,70000000000.0,地表,507.77
QH,B0047,B0047,36.99000,101.90000,0,70000000000.0,地表,384.28
QH,B0048,B0048,36.95000,101.90000,0,70000000000.0,地表,584.11
QH,B0049,B0049,37.00000,102.00000,0,70000000000.0,地表,396.16
QH,B0050,B0050,36.85000,102.06000,0,70000000000.0,地表,507.85
QH,B0051,B0051,36.64000,102.01000,0,70000000000.0,地表,486.00
QH,B0052,B0052,36.70000,102.04000,0,70000000000.0,地表,621.41
QH,B0062,B0062,36.92000,102.08000,0,70000000000.0,地表,553.71
QH,B0067,B0067,36.25000,101.77000,0,70000000000.0,地表,711.85
QH,B0068,B0068,36.24000,101.87000,0,70000000000.0,地表,651.36
QH,B0069,B0069,36.21000,101.99000,0,70000000000.0,地表,586.66
QH,B0072,B0072,36.04000,101.97000,0,70000000000.0,地表,473.72
QH,BH040,BH040,36.81000,101.94000,0,70000000000.0,地表,339.69
QH,BP039,BP039,36.49000,102.06000,0,70000000000.0,地表,615.74
QH,C0001,C0001,36.83000,101.08000,0,70000000000.0,地表,504.40
QH,C0002,C0002,36.89000,101.08000,0,70000000000.0,地表,572.25
