Network,Station,Name,Latitude,Longitude,Elevation,Sensitivity,Site,Vs30
HOKKAIDO,N.KUMH,HOKKAIDO N.KUMH BHZ ,42.134400,140.004000,70.0,70000000000.0,,
HOKKAIDO,N.BEEH,HOKKAIDO N.BEEH BHZ ,43.503800,142.600600,450.0,70000000000.0,,
HOKKAIDO,N.BHRH,HOKKAIDO N.BHRH BHZ ,43.722800,144.183700,87.0,70000000000.0,,
HOKKAIDO,N.BKEH,HOKKAIDO N.BKEH BHZ ,43.397800,145.122400,30.0,70000000000.0,,
TOCHIGI,N.ASOH,TOCHIGI N.ASOH BHZ ,36.634300,139.461400,750.0,70000000000.0,,
NAGANO,N.CHHH,NAGANO N.CHHH BHZ ,36.402200,138.020800,675.0,70000000000.0,,
NAGASAKI,N.NGSH,NAGASAKI N.NGSH BHZ ,32.699900,129.862500,155.0,70000000000.0,,
IWATE,N.KANH,IWATE N.KANH BHZ ,39.644200,141.597700,305.0,70000000000.0,,
NAGANO,N.AGMH,NAGANO N.AGMH BHZ ,35.787000,137.717300,895.0,70000000000.0,,
NARA,N.TKEH,NARA N.TKEH BHZ ,33.969200,135.857400,480.0,70000000000.0,,
CHIBA,N.HSNH,CHIBA N.HSNH BHZ ,35.594300,140.510700,1.0,70000000000.0,,
NAGANO,N.NKNH,NAGANO N.NKNH BHZ ,36.743100,138.375900,380.0,70000000000.0,,
GUNMA,N.HRNH,GUNMA N.HRNH BHZ ,36.459200,138.853400,900.0,70000000000.0,,
HOKKAIDO,N.HBTH,HOKKAIDO N.HBTH BHZ ,43.121300,143.618600,65.0,70000000000.0,,
HOKKAIDO,N.ORWH,HOKKAIDO N.ORWH BHZ ,44.025400,141.787600,21.0,70000000000.0,,
SHIMANE,N.MHSH,SHIMANE N.MHSH BHZ ,35.557900,133.300400,9.0,70000000000.0,,
MIYAZAKI,N.NOBH,MIYAZAKI N.NOBH BHZ ,32.506000,131.695800,2.0,70000000000.0,,
HOKKAIDO,N.KYOH,HOKKAIDO N.KYOH BHZ ,42.975800,140.622000,20.0,70000000000.0,,
NIIGATA,N.SKWH,NIIGATA N.SKWH BHZ ,38.131200,139.542600,78.0,70000000000.0,,
HYOGO,N.YMSH,HYOGO N.YMSH BHZ ,35.032200,134.670100,160.0,70000000000.0,,
KOCHI,N.TSSH,KOCHI N.TSSH BHZ ,32.779700,132.971800,5.0,70000000000.0,,
AICHI,N.NGKH,AICHI N.NGKH BHZ ,35.184200,137.047400,60.0,70000000000.0,,
HOKKAIDO,N.TOBH,HOKKAIDO N.TOBH BHZ ,43.408700,141.583600,80.0,70000000000.0,,
YAMANASHI,N.NRSH,YAMANASHI N.NRSH BHZ ,35.760400,138.387400,585.0,70000000000.0,,
WAKAYAMA,N.HRKH,WAKAYAMA N.HRKH BHZ ,33.980400,135.212200,60.0,70000000000.0,,
